Código,Descrição,Fornecedor
21111,BERMUDA MOL COM RECORTE P/M/G MASC.GOOD BLESS,GOOD BLESS
21251,TANGA SANDUICHE/ REFILADEIRA LISA E EST REF :01/03.STYLLETO. FLSL,STYLLETO
21253,TANGAO VUS LISO E ESTAMPADO .STYLLETO. FLSL,STYLLETO
21254,TANGAO BORNEO LISO /ESTAMPADO.STYLETO,STYLLETO
21256,TANGA BILU ESTAMPADA E LISA .STYLETTO FISL,STYLLETO
21257,CUECA BOXER POLIESTER MASC.STYLETTO,STYLLETO
21258,CUECA BOXER ADULTO .STYLETTO,STYLLETO
21259,CALCA CIGARRETE 178604/175993.JEZZIAN,JEZZIAN
21263,CUECA BOXER LISA /ESTAMPADA .LINHARES ( BETO),CONFECÇÃO LINHARES
21297,SHORT JEANS COM BAIXA E BARRA DOBRADA .JEZZIAN,JEZZIAN
21298,SHORT COLOR JOGGUER .JEZZIAN,JEZZIAN
21299,BERMUDA JEANS FEM .JEZZIAN,JEZZIAN
21300,BERMUDA JEANS FEM .JEZZIAN,JEZZIAN
21304,BERMUDA JEANS COM BARRA DOBRADA MASC .JEZZIAN,JEZZIAN
21306,BERMUDA JOGGUER MASC.JEZZIAN,JEZZIAN
21307,CALCA JEANS LAVAGEM ESPONJADA .JEZZIAN. MJPR,JEZZIAN
21308,CALCA JEANS COM X TAG MA LATERAL .JEZZIAN,JEZZIAN
21309,CALCA JOGGUER .JEZZIAN,JEZZIAN
21310,CALCA JOGGUER .JEZZIAN,JEZZIAN
21311,CALCA JEANS COM CINTO JEANS PLUS .JEZZIAN,JEZZIAN
21312,BERMUDA JEANS PLUS MASC.JEZZIAN,JEZZIAN
21334,CALCA JEANS INF .PIMENTINHA,PIMENTINHA
21335,CALCA JEANS INF.PIMENTINHA,PIMENTINHA
21336,CALCA COLOR INF PIMENTINHA IO4PR,PIMENTINHA
21337,CALCA COLOR INF.PIMENTINHA IO4PR,PIMENTINHA
21338,CALCA COLOR INF .PIMENTINHA IO4PR,PIMENTINHA
21339,CALCA JEANS FEM CARGO .IDISE,IDISE
21342,CALCA JEANS PLUS FEM SIZE .IDISE,IDISE
21343,SALOPETE JEANS PLUS SIZE FEM .IDISE. FEPR,IDISE
21349,CALCINHA COS ELASTICO ESTAMPADO C25 .BETO,BETO
21350,CUECA BOXER ESTAMPADO B-02 IN .BETO,BETO
21365,CALCA JEANS COM BOLSOS FTI.BLK,BLK
21366,CALCA JEANS COM NERVURA .BLK,BLK
21377,CALCA JEANS JOGGUER JUVENIL FJPR,BLK
21418,CALCA JOGGUER FEM JUNIOR,JUNIOR
21421,BERMUDA INTIMA SEGUNDA PELE C/ RENDA M/G/GG.MI,MI
21422,CAMISOLA ESTAMPADA ALCA FINA M/G.MI,MI
21429,BERMUDA SARJA LISTRADA MASC MI.MCPR,MI
21457,SHORT FITNESS FEM .MAIS FITNESS,MAIS FITNESS
21481,CALCINHA INFANTIL .AMOR DE MAE,AMOR DE MÃE
21483,SHORT LADY FITNESS NILKAMP. FFSL,NILKAMP
21582,BLUSA FEM COM BOTAO AMARRACAO JD8863.JACKSNIPE,JACKSNIPE
21583,SHORT FEM CHOCHARD FAIXA DK010.JACKSNIPE,JACKSNIPE
21585,SHORT LINHO LISTRADO C/FAIXA JS 8869.JACKSNIPE,JACKSNIPE
21586,CAMISA FEM LISTRADA LINHO JS8819.JACKSNIPE,JACKSNIPE
21587,CAMISA FEM BOTAO ESTAMPADA JS8821.JACKSNIPE,JACKSNIPE
21588,CAMISA FEM ESTAMPADA PLUS AM3104/3024//2183/3104/3043/3063.JACKSNIPE,JACKSNIPE
21602,TOP LINGIRIE COM RENDA .LOUCA PAIXAO,LOUCA PAIXÃO
21609,CONJUNTO SOUTIEN FEM +2 CALCINHAS 8032.LOUCA PAIXAO,LOUCA PAIXÃO
21613,BERMUDA DRY SILK SPORTS MASC .FLAVIO MFSL,HB RIO
21616,CONJUNTO LINGIRIE FEM 29198.LILI,LILI
21622,CONJUNTO LINGIRIE FEM 29196.LILI,LILI
21623,CONJUNTO LINGIRIE FEM 238.LILI,LILI
21624,CONJUNTO HMC 5 LINGIRIE FEM .LILI,LILI
21626,CONJUNTO LINGIRIE COM RENDA .LILI,LILI
21628,CALCINHA CINTA AD HM SC15S.HANGAR,HANGAR
21630,CONJUNTO LINGIRIE AD F21.LILI,LILI
21637,CONJUNTO LINGIRIE PLUS AD REF:012 (NEEDFEEL).LILI,LILI
21638,CONJUNTO LISO COM RENDA AD REF:15133.LILI,LILI
21643,CALCINHA CINTA REF:SC20S.HANGAR,HANGAR
21678,BERMUDA PEDAL JEANS FEM REF 5041.DECIZAO,DECIZÃO
21679,BERMUDA PEDAL JEANS FEM REF:2161.DECIZAO,DECIZÃO
21680,BERMUDA PEDAL JEANS FEM RE:2160.DECIZAO,DECIZÃO
21681,SHORT JEANS C/BOTOES FORRADO REF:1658.DECIZAO,DECIZÃO
